FID	IID	FlagLeafAngle_Hainan	FlagLeafAngle_Wuhan
C001	C001	27.7	16.2
C002	C002	20.7	16.0
C003	C003	23.3	92.5
C004	C004	25.0	31.3
C005	C005	43.8	91.0
C006	C006	6.7	10.8
C007	C007	8.7	8.5
C008	C008	10.0	6.3
C009	C009	19.7	12.5
C010	C010	NA	24.8
C011	C011	8.0	11.2
C012	C012	17.0	NA
C013	C013	6.2	10.3
C014	C014	20.0	50.0
C015	C015	5.0	21.0
C016	C016	31.7	34.3
C017	C017	10.3	77.8
C018	C018	35.8	30.8
C019	C019	9.4	23.5
C020	C020	5.0	16.3
C021	C021	15.0	29.0
C022	C022	18.3	21.0
C023	C023	38.3	61.7
C024	C024	15.2	16.7
C025	C025	18.3	11.5
C026	C026	NA	16.8
C027	C027	19.0	15.3
C028	C028	NA	NA
C029	C029	NA	NA
C030	C030	14.8	12.5
C031	C031	13.3	23.3
C032	C032	21.5	45.5
C033	C033	21.2	17.0
C034	C034	9.2	19.3
C035	C035	44.2	41.2
C036	C036	9.2	19.7
C037	C037	25.3	30.0
C038	C038	13.0	21.3
C039	C039	19.5	22.7
C040	C040	19.8	21.7
C041	C041	36.0	48.9
C042	C042	7.3	10.5
C043	C043	15.5	18.5
C044	C044	11.7	11.2
C045	C045	11.5	11.2
C046	C046	10.0	13.5
C047	C047	21.3	16.2
C048	C048	NA	NA
C049	C049	25.2	18.2
C050	C050	15.0	15.8
C051	C051	17.5	17.8
C052	C052	15.0	17.5
C053	C053	39.3	19.2
C054	C054	17.3	10.3
C055	C055	25.8	22.0
C056	C056	13.3	24.0
C057	C057	24.7	34.0
C058	C058	19.5	18.5
C059	C059	23.8	29.0
C060	C060	7.8	16.3
C061	C061	18.0	17.3
C062	C062	18.5	15.8
C063	C063	9.5	9.0
C064	C064	20.0	12.8
C065	C065	15.5	10.8
C066	C066	7.3	20.0
C067	C067	18.3	17.5
C068	C068	15.2	14.8
C069	C069	4.3	13.2
C070	C070	12.2	21.7
C071	C071	13.3	13.8
C072	C072	27.3	18.7
C073	C073	23.5	30.7
C074	C074	81.7	118.2
C075	C075	12.5	25.3
C076	C076	31.0	14.3
C077	C077	19.8	19.7
C078	C078	12.0	19.3
C079	C079	41.7	31.7
C080	C080	29.5	18.7
C081	C081	18.0	22.3
C082	C082	27.8	42.5
C083	C083	37.5	32.2
C084	C084	152.5	163.0
C085	C085	86.7	23.3
C086	C086	34.2	22.5
C087	C087	66.2	27.2
C088	C088	33.9	10.7
C089	C089	28.3	27.8
C090	C090	21.5	16.2
C091	C091	21.0	24.7
C092	C092	19.3	61.0
C093	C093	NA	14.0
C094	C094	16.2	19.3
C095	C095	25.7	9.2
C096	C096	8.7	19.7
C097	C097	21.7	22.7
C098	C098	9.2	21.2
C099	C099	6.7	6.5
C100	C100	12.5	63.2
C101	C101	40.8	25.7
C102	C102	11.7	11.8
C103	C103	91.3	25.8
C104	C104	22.6	16.5
C105	C105	10.8	10.8
C106	C106	45.8	19.0
C107	C107	25.8	8.5
C108	C108	26.0	10.7
C109	C109	52.2	72.7
C110	C110	23.6	13.0
C111	C111	16.5	16.6
C112	C112	18.0	19.0
C113	C113	7.8	13.8
C114	C114	6.3	27.5
C115	C115	9.6	10.0
C116	C116	7.8	24.8
C117	C117	25.0	25.5
C118	C118	15.8	10.3
C119	C119	10.3	14.5
C120	C120	21.7	51.2
C121	C121	18.5	19.2
C122	C122	23.3	30.9
C123	C123	26.6	26.7
C124	C124	8.8	11.0
C125	C125	16.3	23.7
C126	C126	NA	NA
C127	C127	30.0	51.5
C128	C128	11.0	22.5
C129	C129	7.5	14.7
C130	C130	65.1	24.3
C131	C131	18.5	80.2
C132	C132	19.3	11.5
C133	C133	71.3	130.8
C134	C134	75.0	101.2
C135	C135	34.3	26.8
C136	C136	45.0	106.2
C137	C137	41.8	23.7
C138	C138	81.5	18.2
C139	C139	20.0	31.0
C140	C140	19.5	10.2
C141	C141	40.3	9.0
C142	C142	24.0	10.3
C143	C143	23.3	19.5
C144	C144	98.4	62.7
C145	C145	11.5	17.3
C146	C146	19.3	28.8
C147	C147	18.3	14.2
C148	C148	19.8	18.3
C149	C149	16.7	47.2
C150	C150	19.2	31.2
C151	C151	24.2	21.0
C152	C152	NA	NA
C153	C153	16.8	37.3
C154	C154	18.3	32.0
C155	C155	21.2	24.7
C156	C156	6.7	19.3
C157	C157	5.8	25.0
C158	C158	9.2	18.3
C159	C159	8.3	20.8
C160	C160	5.0	17.0
C161	C161	17.5	20.3
C162	C162	19.2	39.7
C163	C163	14.0	18.2
C164	C164	13.2	13.0
C165	C165	20.8	16.5
C166	C166	23.8	13.7
C167	C167	15.0	12.2
C168	C168	9.8	10.7
C169	C169	6.3	12.2
C170	C170	8.3	9.0
C171	C171	22.5	91.7
C172	C172	15.8	43.0
C173	C173	17.2	20.7
C174	C174	22.8	21.3
C175	C175	12.7	18.3
C176	C176	14.2	10.5
C177	C177	55.8	61.7
C178	C178	12.0	15.7
C179	C179	75.0	26.2
C180	C180	17.6	25.7
C181	C181	65.8	68.7
C182	C182	21.2	21.7
C183	C183	27.3	28.3
C184	C184	20.0	11.5
C185	C185	56.8	138.3
C186	C186	138.3	150.8
C187	C187	29.3	26.0
C188	C188	50.8	20.3
C189	C189	70.8	29.7
C190	C190	26.3	30.3
C191	C191	37.3	14.8
C192	C192	10.8	32.0
C193	C193	18.7	21.8
C194	C194	13.3	18.5
C195	C195	82.0	8.8
C196	C196	NA	NA
C197	C197	52.7	12.3
C198	C198	10.8	18.0
C199	C199	23.2	13.2
C200	C200	20.5	10.2
C201	C201	NA	NA
C202	C202	NA	NA
C203	C203	NA	NA
W001	W001	10.7	16.0
W002	W002	47.0	49.7
W003	W003	138.3	135.0
W004	W004	31.2	11.7
W005	W005	16.8	19.5
W006	W006	55.2	28.5
W007	W007	43.8	111.8
W008	W008	42.3	70.8
W009	W009	31.0	12.3
W010	W010	75.0	121.7
W011	W011	73.3	99.2
W012	W012	23.3	35.3
W013	W013	16.2	72.0
W014	W014	30.5	23.5
W015	W015	22.3	16.3
W016	W016	30.8	47.5
W017	W017	15.3	34.8
W018	W018	26.7	26.2
W019	W019	44.0	71.8
W020	W020	13.4	23.5
W021	W021	130.0	151.7
W022	W022	34.3	13.8
W023	W023	30.8	13.0
W024	W024	141.2	142.8
W025	W025	7.5	12.0
W026	W026	29.6	54.3
W027	W027	37.2	44.5
W028	W028	22.2	18.2
W029	W029	22.0	24.5
W030	W030	NA	14.2
W031	W031	32.5	15.0
W032	W032	31.2	34.7
W033	W033	28.8	50.5
W034	W034	29.0	18.3
W035	W035	16.3	77.3
W036	W036	36.5	13.8
W037	W037	17.7	16.7
W038	W038	14.0	12.8
W039	W039	17.5	25.1
W040	W040	13.8	12.7
W041	W041	24.2	42.5
W042	W042	25.0	14.3
W043	W043	11.9	11.8
W044	W044	10.3	14.5
W045	W045	21.7	23.3
W046	W046	16.7	15.2
W047	W047	NA	NA
W048	W048	63.0	62.0
W049	W049	10.2	17.5
W050	W050	17.8	14.5
W051	W051	17.2	15.0
W052	W052	79.2	105.0
W053	W053	29.8	76.5
W054	W054	7.8	21.0
W055	W055	42.7	43.0
W056	W056	21.7	17.5
W057	W057	31.8	16.5
W058	W058	23.2	24.5
W059	W059	15.8	21.5
W060	W060	46.3	90.0
W061	W061	41.7	73.4
W062	W062	95.5	14.5
W063	W063	40.0	122.0
W064	W064	25.0	61.5
W065	W065	26.2	33.8
W066	W066	13.0	19.0
W067	W067	83.8	103.5
W068	W068	7.5	22.2
W069	W069	14.5	15.7
W070	W070	26.8	12.3
W071	W071	22.5	14.0
W072	W072	5.8	11.3
W073	W073	8.8	9.7
W074	W074	9.3	15.6
W075	W075	15.3	20.0
W076	W076	7.6	82.5
W077	W077	15.2	12.2
W078	W078	11.8	10.5
W079	W079	18.3	12.8
W080	W080	9.5	16.2
W081	W081	94.2	119.2
W082	W082	60.0	81.7
W083	W083	10.7	19.8
W084	W084	24.7	23.8
W085	W085	12.3	11.3
W086	W086	14.3	15.5
W087	W087	5.8	16.2
W088	W088	12.0	16.0
W089	W089	27.5	33.7
W090	W090	13.8	12.8
W091	W091	21.3	22.5
W092	W092	23.2	11.5
W093	W093	36.5	35.2
W094	W094	23.7	15.3
W095	W095	35.2	14.3
W096	W096	NA	19.7
W097	W097	NA	12.5
W098	W098	26.3	14.2
W099	W099	21.0	20.5
W100	W100	69.3	67.3
W101	W101	13.3	10.7
W102	W102	NA	134.8
W103	W103	10.0	16.2
W104	W104	17.5	21.7
W105	W105	16.0	16.2
W106	W106	11.3	12.7
W107	W107	6.3	19.8
W108	W108	16.7	62.4
W109	W109	23.3	74.9
W110	W110	74.7	20.2
W111	W111	29.5	10.8
W112	W112	18.7	10.2
W113	W113	NA	38.7
W114	W114	15.8	12.5
W115	W115	18.8	9.0
W116	W116	60.0	60.7
W117	W117	28.3	81.3
W118	W118	22.5	15.5
W119	W119	10.7	17.3
W120	W120	32.5	47.8
W121	W121	20.8	20.3
W122	W122	28.8	27.5
W123	W123	24.0	46.2
W124	W124	42.0	57.5
W125	W125	17.0	70.8
W126	W126	25.1	28.5
W127	W127	98.3	42.0
W128	W128	13.0	17.3
W129	W129	25.7	14.5
W130	W130	35.0	103.8
W131	W131	37.3	16.3
W132	W132	16.2	25.0
W133	W133	22.2	22.3
W134	W134	10.0	21.3
W135	W135	18.5	13.3
W136	W136	25.8	10.8
W137	W137	15.8	14.8
W138	W138	15.8	22.3
W139	W139	78.3	102.5
W140	W140	11.7	9.5
W141	W141	NA	NA
W142	W142	14.0	40.7
W143	W143	73.3	50.2
W144	W144	37.7	15.5
W145	W145	12.2	11.2
W146	W146	23.3	21.7
W147	W147	28.6	35.0
W148	W148	12.2	20.3
W149	W149	6.7	11.5
W150	W150	12.2	13.7
W151	W151	NA	NA
W152	W152	13.2	14.8
W153	W153	13.3	12.7
W154	W154	14.3	12.3
W155	W155	11.3	14.8
W156	W156	16.0	17.2
W157	W157	14.5	13.0
W158	W158	NA	NA
W159	W159	11.5	12.0
W160	W160	36.3	27.3
W161	W161	21.0	15.3
W162	W162	15.7	12.0
W163	W163	20.0	11.0
W164	W164	6.0	14.7
W165	W165	21.0	15.0
W166	W166	19.6	25.8
W167	W167	23.8	28.5
W168	W168	14.8	6.8
W169	W169	16.3	13.7
W170	W170	10.0	11.0
W171	W171	5.3	11.3
W172	W172	23.5	12.0
W173	W173	22.3	23.2
W174	W174	10.0	13.5
W175	W175	28.7	18.3
W176	W176	6.8	11.2
W177	W177	6.4	11.8
W178	W178	38.5	19.3
W179	W179	17.2	13.7
W180	W180	13.2	13.8
W181	W181	16.8	17.8
W182	W182	16.2	30.7
W183	W183	9.8	9.8
W184	W184	15.2	11.3
W185	W185	12.5	13.2
W186	W186	20.3	12.2
W187	W187	23.8	14.8
W188	W188	18.7	14.7
W189	W189	14.0	10.3
W190	W190	NA	NA
W191	W191	NA	14.5
W192	W192	14.7	13.8
W193	W193	19.8	26.3
W194	W194	11.6	17.3
W195	W195	14.8	13.7
W196	W196	NA	NA
W197	W197	13.6	14.3
W198	W198	88.0	18.8
W199	W199	26.2	11.5
W200	W200	12.6	14.2
W201	W201	13.0	20.0
W202	W202	14.3	14.7
W203	W203	7.5	9.2
W204	W204	22.7	22.8
W205	W205	22.0	19.2
W206	W206	17.3	11.8
W207	W207	15.7	12.7
W208	W208	6.8	9.0
W209	W209	22.5	14.7
W210	W210	25.2	64.5
W211	W211	7.3	13.0
W212	W212	22.0	16.8
W213	W213	81.7	67.7
W214	W214	19.7	27.2
W215	W215	13.0	27.5
W216	W216	14.0	13.0
W217	W217	18.8	18.8
W218	W218	44.5	21.8
W219	W219	10.0	22.2
W220	W220	12.0	14.5
W221	W221	26.5	17.3
W222	W222	15.0	9.2
W223	W223	14.8	14.0
W224	W224	13.2	17.8
W225	W225	16.0	23.8
W226	W226	34.2	NA
W227	W227	15.0	16.8
W228	W228	10.5	9.2
W229	W229	13.3	13.8
W230	W230	10.0	6.0
W231	W231	14.5	14.5
W232	W232	NA	NA
W233	W233	20.7	11.5
W234	W234	12.6	11.5
W235	W235	12.5	16.8
W236	W236	10.0	15.0
W237	W237	10.5	14.8
W239	W239	10.7	9.5
W240	W240	14.6	17.8
W241	W241	26.7	11.2
W242	W242	12.7	10.0
W243	W243	14.8	15.2
W244	W244	10.0	15.7
W245	W245	21.0	9.5
W246	W246	12.5	21.7
W247	W247	27.7	73.3
W248	W248	9.2	12.3
W249	W249	70.5	79.5
W250	W250	30.0	93.3
W251	W251	20.3	17.5
W252	W252	14.8	12.8
W253	W253	26.5	46.8
W254	W254	33.3	47.2
W255	W255	4.7	17.3
W256	W256	52.5	18.3
W257	W257	61.3	91.8
W258	W258	25.8	19.5
W259	W259	14.5	14.8
W260	W260	45.3	34.8
W261	W261	32.0	34.0
W262	W262	6.5	18.7
W263	W263	14.8	11.3
W264	W264	14.5	10.7
W265	W265	13.2	16.0
W266	W266	14.2	13.0
W267	W267	7.2	18.3
W268	W268	16.0	12.7
W269	W269	5.8	17.2
W270	W270	18.8	25.5
W271	W271	10.6	15.3
W272	W272	5.8	18.8
W273	W273	38.8	106.5
W274	W274	5.0	23.2
W275	W275	16.2	19.2
W276	W276	8.8	12.3
W277	W277	12.2	14.7
W278	W278	11.5	14.8
W279	W279	19.0	13.0
W280	W280	3.5	8.0
W281	W281	12.5	12.2
W282	W282	10.8	8.2
W283	W283	10.0	11.7
W284	W284	78.4	135.7
W285	W285	12.0	13.7
W286	W286	13.5	9.8
W287	W287	11.5	11.8
W288	W288	37.7	27.0
W289	W289	14.0	10.5
W290	W290	NA	NA
W291	W291	17.8	12.8
W292	W292	23.3	14.2
W293	W293	17.3	12.5
W294	W294	50.0	81.0
W295	W295	11.0	10.5
W296	W296	16.5	17.8
W297	W297	NA	NA
W298	W298	13.0	22.7
W299	W299	6.8	10.3
W300	W300	20.6	25.3
W301	W301	17.5	11.8
W302	W302	26.0	23.8
W303	W303	11.2	26.2
W304	W304	10.6	16.7
W305	W305	17.0	18.5
W306	W306	28.5	16.7
W307	W307	17.0	10.2
W308	W308	18.3	15.7
W309	W309	15.2	10.2
W310	W310	19.2	11.3
W311	W311	12.8	13.7
W312	W312	13.7	11.2
W313	W313	7.2	9.2
W314	W314	19.2	27.7
W315	W315	12.2	7.0
W316	W316	11.7	11.8
W317	W317	11.8	8.0
W318	W318	26.7	47.2
W319	W319	56.2	13.5
W320	W320	27.7	11.0
W321	W321	NA	NA
W322	W322	10.5	17.3
W323	W323	NA	NA
W324	W324	7.5	123.3
W325	W325	74.4	18.8
W326	W326	47.8	34.2
W327	W327	21.7	22.0
W328	W328	30.0	NA
W329	W329	15.3	30.7
W330	W330	11.6	13.0
